quant,L1,L2,a1,a2,b1,b2
1,0.392028017767483,2.25993200206374,-25.1883467843367,-18.9528909133935,-38.6413514228938,-37.5723299099513
2,1.70374354512906,4.67814685658193,-13.771260372395,-6.61254702975195,-16.093123256145,-15.7452069057667
3,2.19316653640944,5.59154680879782,-12.4191637006953,-5.26649557896661,-13.0685156888676,-12.514924600484
4,2.65943222226736,6.56358238572334,-11.6378732629481,-4.51583776102061,-11.0555403950464,-10.5767896880492
5,3.07519445574337,7.57238544619762,-10.9253074494235,-3.95058052818937,-9.66334957072475,-9.34614142445466
6,3.51233909179699,8.5101330536668,-10.394612441308,-3.56847717238926,-8.43535927891752,-8.40397113735041
7,3.95350879545282,9.45609650521766,-9.94742835352596,-3.23378295260837,-7.63151396017125,-7.66764829195494
8,4.58214226232058,10.5339741876883,-9.54178525595074,-2.98093336250454,-6.91182731973088,-7.08653919841458
9,5.58392343252868,11.7323527730725,-9.24314993419352,-2.77241284849656,-6.25423517114084,-6.58420817339549
10,7.35950692185375,13.028519723507,-8.94458547513816,-2.57864553939751,-5.70047977527959,-6.14606929409678
11,10.0929060627694,14.5327334605815,-8.67817801998375,-2.40831926404882,-5.24737458409713,-5.73636834990426
12,12.3969853791236,15.9271753199215,-8.44752463050501,-2.2630569016799,-4.81321331245303,-5.39643548464702
13,14.0950497265765,17.1095644594896,-8.25200067352103,-2.11645994668452,-4.42972025319059,-5.08417641405534
14,15.6113213527476,18.19930134185,-8.06837934812305,-1.98710794403716,-4.09097447262071,-4.79929634056324
15,17.0263735555414,19.21978950208,-7.91267803948503,-1.88745051272424,-3.78187369839739,-4.5171602447498
16,18.1879712731066,20.1389774223613,-7.77042422108599,-1.76812076702478,-3.49496197871165,-4.29933872668637
17,19.3897957278182,20.993649335834,-7.62779194875605,-1.66231452996207,-3.24177703565042,-4.09176434950844
18,20.4665411315361,21.7731128234831,-7.50889322778323,-1.5577596525363,-2.98764743038727,-3.88587116084342
19,21.4738021124722,22.4608808538983,-7.38016632399054,-1.48732460787824,-2.78282720280481,-3.70799624721708
20,22.4768521351117,23.0756023364722,-7.2665710695447,-1.38934883368622,-2.55755293314097,-3.53635309439226
21,23.4441563140147,23.647956461554,-7.16510483925946,-1.31756920767964,-2.35534387609402,-3.38073590792356
22,24.3252501974539,24.2003749960845,-7.05616499746077,-1.23677064993,-2.17593675662502,-3.22377477964033
23,25.2124869352097,24.6964263384145,-6.96501021676404,-1.15860711539995,-2.01378342641343,-3.10016217442642
24,25.8868169791063,25.1761739025984,-6.87435402250029,-1.09105884466332,-1.82444037917562,-2.96922693028233
25,26.587760395508,25.6107816225054,-6.79585739556113,-1.01715428732427,-1.67548361120331,-2.83731869505041
26,27.2627564791462,26.0602916497407,-6.71618031903599,-0.958257371163429,-1.52976003446857,-2.71986825935936
27,27.848264101656,26.5225789595513,-6.64347823360478,-0.897221208109057,-1.38257317380492,-2.60875910543761
28,28.4345037262316,26.9227244499242,-6.56203328972638,-0.824909927465589,-1.23709571890605,-2.49312103230361
29,28.9817780058391,27.2766447645077,-6.48757627488498,-0.766811511131726,-1.10200887553005,-2.38416561198682
30,29.4790640080131,27.6335313972738,-6.41971269805407,-0.704206004246472,-0.975009680771421,-2.27183454459305
