test,male_id,display,sneak,male_activity,female_activity,replicate,selection,standard_length,tail_length,tail_area,short_display,long_display,display_duration,following,female_standard_length,receptive_female
8,VM23,39,2,2.0809,2.04978,replicate_1,down-selected,1.622,0.42,0.219,13,26,69,470.7333333,2.782,TRUE
6,VM24,28,0,2.5767,1.1867,replicate_1,down-selected,1.386,0.464,0.195,1,27,141,182.7333333,1.977,TRUE
7,VM25,0,5,2.980847,2.597547,replicate_1,down-selected,1.515,0.374,0.151,0,0,0,509.8333333,2.073,FALSE
5,VM26,21,0,1.297,1.0034,replicate_1,down-selected,1.315,0.455,0.187,6,15,79,137.4,2.326,FALSE
13,VM27,4,0,2.597547,2.980847,replicate_1,down-selected,1.301,0.28,0.124,1,3,21,509.8333333,2.559,FALSE
16,VM28,0,0,0.7249828,0.49,replicate_1,down-selected,1.387,0.49,0.207,0,0,0,53.56666667,2.462,FALSE
14,VM29,9,0,1.08462,1.478614,replicate_1,down-selected,1.384,0.466,0.214,6,3,13,365.5,2.678,FALSE
15,VM30,9,1,0.9394147,0.8763846,replicate_1,down-selected,1.377,0.488,0.205,1,8,16,233.4333333,2.56,FALSE
21,VM31,4,0,2.78373,1.277693,replicate_1,down-selected,1.262,0.487,0.203,0,4,8,29.1,2.485,FALSE
23,VM32,1,0,1.897222,1.325481,replicate_1,down-selected,1.395,0.47,0.201,0,1,8,100,2.772,FALSE
24,VM33,5,0,1.280722,1.203703,replicate_1,down-selected,1.449,0.523,0.192,3,2,5,85.63333333,2.715,FALSE
30,VM34,4,0,1.513275,0.5509537,replicate_1,down-selected,1.477,0.498,0.207,2,2,5,189.8666667,2.32,FALSE
29,VM35,0,0,1.73013,0.6,replicate_1,down-selected,1.467,0.469,0.183,0,0,0,44.6,2.773,FALSE
32,VM36,1,0,3.233945,0.3992493,replicate_1,down-selected,1.436,0.573,0.201,1,0,0,35.9,2.427,FALSE
31,VM37,0,0,0.7381734,0.2780288,replicate_1,down-selected,1.447,0.456,0.178,0,0,0,32.56666667,2.237,FALSE
39,VM38,0,0,4.004054,1.22,replicate_1,down-selected,1.506,0.544,0.218,0,0,0,63.7,2.171,FALSE
36,VM39,0,0,2.949924,1.81648,replicate_1,down-selected,1.591,0.59,0.258,0,0,0,71.2,2.073,FALSE
38,VM40,22,2,1.5212,1.198541,replicate_1,down-selected,1.501,0.45,0.206,10,12,60,337.4333333,1.793,FALSE
37,VM41,0,0,2.362393,1.726412,replicate_1,down-selected,1.402,0.537,0.23,0,0,0,14.06666667,2.262,FALSE
46,VM42,0,0,4.028678,1.676305,replicate_1,down-selected,1.377,0.484,0.191,0,0,0,54.4,2.423,FALSE
44,VM43,0,0,2.115325,1.966393,replicate_1,down-selected,1.319,0.482,0.196,0,0,0,34.96666667,2.277,FALSE
45,VM44,0,0,1.952562,1.421935,replicate_1,down-selected,1.481,0.503,0.228,0,0,0,21.13333333,2.282,FALSE
43,VM45,15,0,1.755733,1.646238,replicate_1,down-selected,1.551,0.567,0.25,12,3,6,92.76666667,2.366,FALSE
86,VM68,1,0,1.029417,0.2022375,replicate_2,down-selected,1.239,0.475,0.171,1,0,0,157.8666667,1.974,FALSE
87,VM69,4,0,1.177455,0.18,replicate_2,down-selected,1.277,0.501,0.161,4,0,0,121.9333333,1.894,FALSE
88,VM71,7,0,0.8794885,0.1868154,replicate_2,down-selected,1.484,0.542,0.232,4,3,22,240.5333333,1.914,FALSE
83,VM72,22,1,1.569235,1.180106,replicate_2,down-selected,1.46,0.427,0.165,17,5,14,497.5333333,2.339,FALSE
82,VM73,7,3,1.991381,1.017497,replicate_2,down-selected,1.579,0.368,0.13,6,1,2,502.9,2.036,FALSE
85,VM74,7,0,,,replicate_2,down-selected,1.46,0.535,0.211,4,3,9,0,1.99,FALSE
84,VM75,1,0,2.622985,1.443572,replicate_2,down-selected,1.22,0.452,0.133,1,0,0,59.1,2.626,FALSE
77,VM76,17,0,0.8145243,0.5290557,replicate_2,down-selected,1.421,0.516,0.227,11,6,15,508.6,2.012,TRUE
75,VM77,40,1,2.085545,1.755249,replicate_2,down-selected,1.307,0.456,0.171,33,7,42,470.0666667,1.872,FALSE
74,VM78,26,3,2.4286,1.910497,replicate_2,down-selected,1.444,0.531,0.186,19,7,16,368.0666667,1.773,TRUE
76,VM79,8,8,1.651408,1.350592,replicate_2,down-selected,1.549,0.572,0.224,6,2,3,452.9333333,2.008,FALSE
66,VM80,21,4,2.979975,2.613073,replicate_2,down-selected,1.585,0.575,0.236,19,2,16,47.3,1.933,FALSE
63,VM81,16,0,3.284281,2.930102,replicate_2,down-selected,1.271,0.466,0.16,12,4,11,222.4666667,2.235,FALSE
65,VM82,0,0,3.646155,3.383755,replicate_2,down-selected,1.418,0.433,0.149,0,0,0,110.1333333,2.565,FALSE
64,VM83,5,0,1.990075,1.9078,replicate_2,down-selected,1.342,0.526,0.148,5,0,0,52.86666667,1.935,FALSE
50,VM84,0,0,1.270157,1.118254,replicate_2,down-selected,1.438,0.45,0.202,0,0,0,524.9666667,1.957,FALSE
49,VM85,3,1,1.372006,1.270157,replicate_2,down-selected,1.316,0.501,0.188,2,1,2,558.4,2.338,FALSE
51,VM86,1,1,2.05915,1.122631,replicate_2,down-selected,1.476,0.415,0.229,1,0,0,78.7,2.012,FALSE
52,VM87,0,1,2.236068,2.482438,replicate_2,down-selected,1.434,0.516,0.218,0,0,0,182.6,2,FALSE
57,VM88,28,0,1.420422,1.092016,replicate_2,down-selected,1.512,0.556,0.203,15,13,32,199.1333333,2.316,TRUE
58,VM89,0,0,1.765899,1.473737,replicate_2,down-selected,1.571,0.529,0.189,0,0,0,13.43333333,1.991,FALSE
93,VM112,1,0,0.3244996,0.2607681,replicate_3,down-selected,1.486,0.524,0.225,1,0,0,615.1666667,2.424,FALSE
94,VM113,3,0,0.943661,0.3119291,replicate_3,down-selected,1.528,0.596,0.164,3,0,0,110.1333333,2.283,FALSE
