date,sire,dam,nr_offspring
2020/10/15,M1-60,F1-16,6
2020/10/15,M1-55,F1-18,2
2020/10/15,M1-81,F1-41,4
2020/10/16,M1-04,F1-07,2
2020/10/17,M1-34,F1-35,4
2020/10/17,M1-45,F1-65,3
2020/10/18,M1-38,F1-79,5
2020/10/18,M1-18,F1-17,4
2020/10/18,M1-63,F1-45,3
2020/10/19,M1-76,F1-06,5
2020/10/19,M1-15,F1-13,6
2020/10/20,M1-58,F1-12,10
2020/10/22,M1-75,F1-50,8
2020/10/22,M1-98,F1-55,3
2020/10/22,M1-66,F1-59,11
2020/10/22,M1-69,F1-60,10
2020/10/22,M1-11,F1-19,11
2020/10/22,M1-54,F1-33,12
2020/10/24,M1-17,F1-27,4
2020/10/24,M1-23,F1-29,13
2020/10/26,M1-74,F1-57,9
2020/10/26,M1-80,F1-58,16
2020/10/27,M1-94,F1-51,9
2020/10/27,M1-24,F1-61,17
2020/10/27,M1-30,F1-72,4
2020/10/27,M1-39,F1-73,12
2020/10/27,M1-33,F1-75,9
2020/10/27,M1-24,F1-62,5
2020/10/27,M1-19,F1-22,3
2020/10/27,M1-32,F1-32,5
2020/10/28,M1-38,F1-80,8
2020/10/29,M1-77,F1-04,6
2020/10/29,M1-44,F1-08,9
2020/10/29,M1-32,F1-31,8
2020/10/29,M1-54,F1-34,6
2020/10/29,M1-21,F1-25,9
2020/10/30,M1-97,F1-53,9
2020/10/30,M1-31,F1-69,8
2020/10/30,M1-31,F1-70,14
2020/10/30,M1-56,F1-02,8
2020/10/30,M1-03,F1-03,6
2020/10/30,M1-08,F1-05,5
2020/11/02,M1-84,F1-42,12
2020/11/02,M1-68,F1-46,7
2020/11/02,M1-71,F1-52,7
2020/11/02,M1-73,F1-54,14
2020/11/02,M1-72,F1-56,7
2020/11/02,M1-37,F1-77,13
2020/11/02,M1-05,F1-01,10
2020/11/02,M1-13,F1-23,8
2020/11/02,M1-17,F1-28,6
2020/11/02,M1-36,F1-39,8
2020/11/02,M1-46,F1-38,7
2020/11/04,M1-06,F1-11,9
2020/11/04,M1-53,F1-20,12
2020/11/04,M1-23,F1-30,9
2020/11/04,M1-21,F1-26,12
2020/11/04,M1-34,F1-36,12
2020/11/04,M1-46,F1-37,12
2020/11/04,M1-36,F1-40,9
2020/11/04,M1-30,F1-71,2
2020/11/05,M1-89,F1-47,9
2020/11/09,M1-88,F1-43,13
2020/11/09,M1-82,F1-44,8
2020/11/09,M1-25,F1-64,9
2020/11/09,M1-37,F1-78,6
2020/11/09,M1-38,F1-79,7
2020/11/09,M1-12,F1-09,9
2020/11/09,M1-78,F1-10,5
2020/11/09,M1-09,F1-15,10
2020/11/09,M1-55,F1-18,14
2020/11/11,M1-60,F1-16,14
2020/11/11,M1-79,F1-14,2
2020/11/16,M1-76,F1-06,9
2020/11/16,M1-58,F1-12,9
2020/11/16,M1-15,F1-13,11
2020/11/16,M1-45,F1-66,9
2020/11/16,M1-28,F1-68,14
2020/11/16,M1-39,F1-74,16
2020/11/16,M1-18,F1-17,11
2020/11/16,M1-34,F1-35,16
2020/11/17,M1-81,F1-41,9
2020/11/17,M1-63,F1-45,9
2020/11/17,M1-45,F1-65,5
2020/11/18,M1-66,F1-59,9
