sample_id,fish_id,selection,sample_priority,,,
1,M1-999,up_selected,first choice,,,
2,M1-1014,up_selected,first choice,,,
3,M1-993,down_selected,first choice,,,
4,M1-1002,down_selected,first choice,,,
5,M1-1015,up_selected,first choice,,,
6,M1-1016,up_selected,first choice,,,
7,M1-1003,down_selected,backup sample,,,
8,M1-1007,down_selected,first choice,,,
9,M1-1020,up_selected,first choice,,,
10,M1-1021,up_selected,first choice,,,
11,M1-1009,down_selected,first choice,,,
12,M1-1013,down_selected,first choice,,,
13,M1-1022,up_selected,first choice,,,
14,M1-1024,up_selected,first choice,,,
15,M1-1025,down_selected,first choice,,,
16,M1-1030,down_selected,first choice,,,
17,M1-1027,up_selected,first choice,,,
18,M1-1028,up_selected,first choice,,,
19,M1-1031,down_selected,first choice,,,
20,M1-1040,down_selected,first choice,,,
21,M1-1029,up_selected,first choice,,,
22,M1-1033,up_selected,first choice,,,
23,M1-1042,down_selected,first choice,,,
24,M1-1048,down_selected,first choice,,,
26,M1-1057,up_selected,first choice,,,
29,M1-1066,up_selected,first choice,,,
30,M1-1071,up_selected,first choice,,,
31,M1-1094,down_selected,first choice,,,
33,M1-1074,up_selected,first choice,,,
34,M1-954,up_selected,first choice,,,
35,M1-1111,down_selected,first choice,,,
36,M1-1112,down_selected,first choice,,,
37,M1-940,up_selected,first choice,,,
38,M1-942,up_selected,first choice,,,
39,M1-971,down_selected,first choice,,,
40,M1-976,down_selected,first choice,,,
41,M1-955,up_selected,first choice,,,
43,M1-979,down_selected,first choice,,,
44,M1-982,down_selected,first choice,,,
45,M1-923,up_selected,first choice,,,
46,M1-924,up_selected,first choice,,,
48,M1-986,down_selected,first choice,,,
49,M1-958,up_selected,first choice,,,
50,M1-963,up_selected,first choice,,,
51,M1-889,down_selected,first choice,,,
52,M1-894,down_selected,first choice,,,
53,M1-953,up_selected,first choice,,,
54,M1-972,up_selected,first choice,,,
55,M1-895,down_selected,first choice,,,
56,M1-930,down_selected,first choice,,,
57,M1-973,up_selected,first choice,,,
58,M1-974,up_selected,first choice,,,
60,M1-936,down_selected,first choice,,,
61,M1-990,up_selected,first choice,,,
62,M1-874,up_selected,first choice,,,
63,M1-938,down_selected,first choice,,,
64,M1-946,down_selected,first choice,,,
65,M1-875,up_selected,first choice,,,
69,M1-893,up_selected,first choice,,,
71,M1-952,down_selected,first choice,,,
72,M1-964,down_selected,first choice,,,
73,M1-898,up_selected,first choice,,,
74,M1-899,up_selected,first choice,,,
75,M1-966,down_selected,first choice,,,
77,M1-1085,up_selected,first choice,,,
78,M1-1096,up_selected,first choice,,,
79,M1-880,down_selected,first choice,,,
80,M1-882,down_selected,first choice,,,
82,M1-1099,up_selected,first choice,,,
83,M1-887,down_selected,first choice,,,
85,M1-1100,up_selected,first choice,,,
86,M1-873,up_selected,first choice,,,
87,M1-912,up_selected,first choice,,,
88,M1-910,up_selected,first choice,,,
89,M1-866,down_selected,first choice,,,
90,M1-869,down_selected,first choice,,,
91,M1-870,down_selected,first choice,,,
92,M1-843,down_selected,first choice,,,
94,M1-907,up_selected,first choice,,,
95,M1-853,down_selected,first choice,,,
96,M1-854,down_selected,first choice,,,
97,M1-991,up_selected,first choice,,,
98,M1-918,up_selected,first choice,,,
