order,dam,sire
88,F1-101,M1-342
98,F1-101,M1-342
56,F1-102,M1-342
66,F1-102,M1-342
74,F1-102,M1-342
67,F1-105,M1-254
75,F1-105,M1-254
86,F1-105,M1-254
45,F1-106,M1-254
57,F1-106,M1-254
80,F1-106,M1-254
7,F1-110,M1-238
8,F1-110,M1-238
48,F1-110,M1-238
14,F1-113,M1-255
42,F1-113,M1-255
49,F1-113,M1-255
15,F1-114,M1-255
26,F1-114,M1-255
82,F1-114,M1-255
51,F1-117,M1-385
92,F1-118,M1-385
93,F1-118,M1-385
6,F1-121,M1-233
33,F1-121,M1-233
47,F1-121,M1-233
24,F1-122,M1-248
65,F1-122,M1-248
69,F1-122,M1-248
90,F1-125,M1-423
91,F1-126,M1-162
13,F1-129,M1-188
40,F1-129,M1-188
60,F1-129,M1-188
12,F1-133,M1-219
72,F1-133,M1-219
79,F1-133,M1-219
17,F1-134,M1-257
21,F1-134,M1-257
52,F1-134,M1-257
5,F1-137,M1-209
35,F1-137,M1-209
50,F1-137,M1-209
58,F1-138,M1-218
62,F1-138,M1-218
63,F1-138,M1-218
23,F1-143,M1-136
94,F1-143,M1-136
100,F1-143,M1-136
68,F1-144,M1-136
97,F1-144,M1-136
99,F1-144,M1-136
1,F1-147,M1-243
22,F1-147,M1-243
29,F1-147,M1-243
43,F1-151,M1-180
64,F1-151,M1-180
71,F1-151,M1-180
4,F1-152,M1-180
9,F1-152,M1-180
30,F1-152,M1-180
28,F1-155,M1-181
32,F1-155,M1-181
39,F1-155,M1-181
2,F1-156,M1-181
16,F1-156,M1-181
19,F1-156,M1-181
3,F1-159,M1-244
37,F1-159,M1-244
38,F1-159,M1-244
31,F1-160,M1-244
44,F1-160,M1-244
78,F1-160,M1-244
36,F1-83,M1-302
53,F1-83,M1-302
61,F1-83,M1-302
77,F1-87,M1-422
83,F1-87,M1-422
87,F1-87,M1-422
46,F1-88,M1-382
55,F1-88,M1-382
70,F1-88,M1-382
25,F1-91,M1-422
27,F1-91,M1-422
54,F1-91,M1-442
59,F1-91,M1-422
73,F1-91,M1-442
84,F1-91,M1-442
89,F1-92,M1-183
95,F1-92,M1-183
96,F1-92,M1-183
11,F1-95,M1-404
18,F1-95,M1-404
34,F1-95,M1-404
76,F1-96,M1-314
81,F1-96,M1-314
85,F1-96,M1-314
10,F1-99,M1-223
20,F1-99,M1-223
41,F1-99,M1-223
