order,dam,sire
76,F2-01,M2-06
93,F2-01,M2-06
94,F2-01,M2-06
37,F2-04,M2-04
45,F2-04,M2-04
73,F2-04,M2-04
22,F2-05,M2-05
56,F2-05,M2-05
66,F2-05,M2-05
79,F2-08,M2-11
85,F2-08,M2-11
92,F2-08,M2-11
13,F2-09,M2-23
28,F2-09,M2-23
33,F2-09,M2-23
2,F2-12,M2-12
18,F2-12,M2-12
19,F2-12,M2-12
46,F2-17,M2-18
55,F2-17,M2-18
64,F2-17,M2-18
4,F2-22,M2-22
34,F2-22,M2-22
58,F2-22,M2-22
16,F2-23,M2-22
36,F2-23,M2-22
41,F2-23,M2-22
23,F2-27,M2-26
70,F2-27,M2-26
72,F2-27,M2-26
7,F2-30,M2-31
67,F2-30,M2-31
71,F2-30,M2-31
44,F2-31,M2-31
65,F2-31,M2-31
90,F2-31,M2-31
25,F2-34,M2-32
32,F2-34,M2-32
95,F2-34,M2-32
12,F2-35,M2-32
26,F2-35,M2-32
31,F2-35,M2-32
11,F2-38,M2-24
14,F2-38,M2-24
35,F2-38,M2-24
69,F2-39,M2-27
80,F2-39,M2-27
97,F2-39,M2-27
75,F2-41,M2-39
84,F2-41,M2-39
88,F2-41,M2-39
53,F2-42,M2-49
78,F2-42,M2-49
82,F2-42,M2-49
86,F2-45,M2-55
89,F2-45,M2-55
91,F2-45,M2-55
15,F2-46,M2-61
50,F2-46,M2-61
60,F2-46,M2-61
59,F2-49,M2-68
68,F2-49,M2-68
74,F2-49,M2-68
39,F2-50,M2-70
52,F2-50,M2-70
61,F2-50,M2-70
62,F2-53,M2-83
87,F2-53,M2-83
96,F2-53,M2-83
54,F2-54,M2-73
98,F2-54,M2-73
99,F2-54,M2-73
17,F2-58,M2-89
40,F2-58,M2-89
42,F2-58,M2-89
8,F2-61,M2-90
9,F2-61,M2-90
21,F2-61,M2-90
1,F2-62,M2-90
38,F2-62,M2-90
43,F2-62,M2-90
6,F2-65,M2-100
10,F2-65,M2-100
29,F2-65,M2-100
5,F2-66,M2-100
20,F2-66,M2-100
30,F2-66,M2-100
24,F2-69,M2-99
47,F2-69,M2-99
63,F2-69,M2-99
77,F2-70,M2-99
81,F2-70,M2-99
83,F2-70,M2-99
3,F2-73,M2-98
27,F2-73,M2-98
48,F2-73,M2-98
49,F2-77,M2-96
51,F2-77,M2-96
57,F2-77,M2-96
