order,dam,sire
41,F2-199,M2-726
42,F2-239,M2-743
43,F2-239,M2-743
44,F2-208,M2-479
45,F2-194,M2-428
46,F2-223,M2-759
47,F2-219,M2-762
48,F2-235,M2-502
49,F2-163,M2-455
50,F2-208,M2-479
51,F2-168,M2-437
52,F2-198,M2-713
53,F2-236,M2-502
54,F2-182,M2-710
55,F2-224,M2-759
56,F2-235,M2-502
57,F2-240,M2-743
58,F2-212,M2-529
59,F2-203,M2-672
60,F2-183,M2-710
61,F2-215,M2-501
62,F2-215,M2-501
63,F2-191,M2-435
64,F2-232,M2-689
65,F2-182,M2-710
66,F2-194,M2-428
67,F2-167,M2-438
68,F2-167,M2-438
69,F2-224,M2-759
70,F2-183,M2-710
71,F2-236,M2-502
72,F2-176,M2-565
73,F2-236,M2-502
74,F2-224,M2-759
75,F2-203,M2-672
76,F2-216,M2-734
77,F2-168,M2-437
78,F2-219,M2-762
79,F2-176,M2-565
80,F2-220,M2-526
81,F2-187,M2-654
82,F2-198,M2-713
83,F2-198,M2-713
84,F2-211,M2-658
85,F2-171,M2-605
86,F2-240,M2-743
87,F2-186,M2-654
88,F2-171,M2-605
89,F2-223,M2-759
90,F2-211,M2-658
91,F2-175,M2-754
92,F2-183,M2-710
93,F2-223,M2-759
94,F2-219,M2-762
95,F2-186,M2-654
96,F2-232,M2-689
97,F2-186,M2-654
98,F2-175,M2-754
99,F2-211,M2-658
100,F2-220,M2-526
