order,dam,sire
41,F3-162,M3-654
42,F3-214,M3-530
43,F3-202,M3-460
44,F3-178,M3-398
45,F3-166,M3-733
46,F3-238,M3-724
47,F3-230,M3-576
48,F3-238,M3-724
49,F3-174,M3-591
50,F3-218,M3-574
51,F3-166,M3-733
52,F3-174,M3-591
53,F3-170,M3-597
54,F3-202,M3-460
55,F3-185,M3-427
56,F3-162,M3-654
57,F3-166,M3-733
58,F3-181,M3-551
59,F3-184,M3-427
60,F3-210,M3-731
61,F3-226,M3-611
62,F3-174,M3-591
63,F3-230,M3-576
64,F3-214,M3-530
65,F3-177,M3-596
66,F3-165,M3-659
67,F3-196,M3-660
68,F3-173,M3-594
69,F3-185,M3-427
70,F3-170,M3-597
71,F3-222,M3-481
72,F3-225,M3-611
73,F3-185,M3-427
74,F3-170,M3-597
75,F3-209,M3-528
76,F3-225,M3-611
77,F3-234,M3-607
78,F3-177,M3-596
79,F3-226,M3-611
80,F3-188,M3-559
81,F3-209,M3-528
82,F3-192,M3-566
83,F3-177,M3-596
84,F3-234,M3-607
85,F3-192,M3-566
86,F3-234,M3-607
87,F3-209,M3-528
88,F3-222,M3-481
89,F3-173,M3-594
90,F3-206,M3-514
91,F3-213,M3-466
92,F3-213,M3-466
93,F3-173,M3-594
94,F3-197,M3-660
95,F3-180,M3-551
96,F3-165,M3-659
97,F3-196,M3-660
98,F3-225,M3-611
99,F3-213,M3-466
100,F3-181,M3-551
