date,fish_id,car_perc,sire,dam,date_of_birth,selection
20220407,m1-843,1.93949411126521,m1-673,f1-183,,down_selected
20220407,m1-853,5.66173465425758,m1-520,f1-168,,down_selected
20220413,m1-859,5.89842734252256,m1-806,f1-180,,down_selected
20220426,m1-866,2.54822890195002,m1-723,f1-191,,down_selected
20220426,m1-870,7.13877158171645,m1-523,f1-172,,down_selected
20220427,m1-880,5.71476746474696,m1-494,f1-187,,down_selected
20220427,m1-887,2.23723969598267,m1-716,f1-211,,down_selected
20220427,m1-889,2.730052977292,m1-559,f1-163,,down_selected
20220429,m1-894,6.10328476091426,m1-810,f1-223,,down_selected
20220503,m1-914,2.48995773432264,m1-832,f1-240,,down_selected
20220503,m1-915,4.69958940954376,m1-717,f1-219,,down_selected
20220506,m1-930,4.48141714358917,m1-810,f1-224,,down_selected
20220506,m1-938,5.55660784734696,m1-525,f1-176,,down_selected
20220509,m1-946,2.31536773319677,m1-673,f1-184,,down_selected
20220510,m1-952,2.9087949231935,m1-799,f1-207,,down_selected
20220511,m1-966,2.73173893457016,m1-615,f1-216,,down_selected
20220511,m1-971,3.70146740317806,m1-459,f1-228,,down_selected
20220512,m1-979,4.63245464707004,m1-719,f1-220,,down_selected
20220512,m1-982,2.97997199487019,m1-696,f1-164,,down_selected
20220512,m1-986,2.63528193009081,m1-504,f1-179,,down_selected
20220513,m1-1002,3.49279711557077,m1-450,f1-203,,down_selected
20220513,m1-1007,1.68044619022799,m1-663,f1-167,,down_selected
20220513,m1-1009,4.0096379863381,m1-761,f1-212,,down_selected
20220513,m1-993,2.54730696195154,m1-505,f1-200,,down_selected
20220516,m1-1025,6.899999689872,m1-459,f1-227,,down_selected
20220517,m1-1031,3.01878651275453,m1-692,f1-235,,down_selected
20220517,m1-1042,4.77489373966146,m1-797,f1-215,,down_selected
20220518,m1-1048,3.96095851807157,m1-805,f1-196,,down_selected
20220518,m1-1055,3.72182120008676,m1-832,f1-239,,down_selected
20220519,m1-1065,4.13206529330198,m1-723,f1-192,,down_selected
20220524,m1-1069,7.44696858340075,m1-494,f1-188,,down_selected
20220524,m1-1078,5.65728419275657,m1-519,f1-204,,down_selected
20220526,m1-1094,2.58575242383274,m1-505,f1-199,,down_selected
20220526,m1-1111,4.92434052924118,m1-676,f1-175,,down_selected
20220407,m1-854,7.50571453884142,m1-520,f1-168,,down_selected
20220426,m1-869,11.4653662587929,m1-523,f1-172,,down_selected
20220427,m1-882,6.46876352156243,m1-494,f1-187,,down_selected
20220427,m1-888,3.65171693167931,m1-716,f1-211,,down_selected
20220429,m1-895,6.55813218463161,m1-810,f1-223,,down_selected
20220506,m1-934,4.78711170590913,m1-810,f1-224,,down_selected
20220506,m1-936,5.60632523442285,m1-525,f1-176,,down_selected
20220509,m1-947,4.36119198752211,m1-673,f1-184,,down_selected
20220510,m1-949,3.26128334617068,m1-799,f1-207,,down_selected
20220511,m1-964,5.32676640006187,m1-615,f1-216,,down_selected
20220511,m1-968,3.86699927739579,m1-459,f1-228,,down_selected
20220512,m1-976,5.12743291684888,m1-719,f1-220,,down_selected
20220512,m1-983,5.36223091857857,m1-696,f1-164,,down_selected
20220512,m1-984,3.13718503581838,m1-504,f1-179,,down_selected
20220513,m1-1003,3.68697008530277,m1-450,f1-203,,down_selected
20220513,m1-1006,3.23544228546654,m1-663,f1-167,,down_selected
20220513,m1-1013,5.78300217124221,m1-761,f1-212,,down_selected
20220513,m1-994,3.12008983402321,m1-505,f1-200,,down_selected
20220517,m1-1030,5.63769977221964,m1-692,f1-235,,down_selected
20220517,m1-1038,3.08674662501661,m1-673,f1-183,,down_selected
20220517,m1-1040,6.54559655598724,m1-797,f1-215,,down_selected
20220518,m1-1051,4.56683369764351,m1-805,f1-196,,down_selected
