date,fish_id,car_perc,sire,dam,date_of_birth,selection,sample_priority
20220411,m1-856,17.1945266202684,m1-596,f1-169,2022-01-12,up_selected,first choice
20220426,m1-874,8.88907482922169,m1-594,f1-162,2022-01-17,up_selected,first choice
20220427,m1-875,11.9912153399572,m1-753,f1-165,2022-01-17,up_selected,first choice
20220502,m1-898,11.2298918063672,m1-671,f1-230,2022-01-17,up_selected,first choice
20220502,m1-907,17.8407002322554,m1-818,f1-218,2022-01-18,up_selected,first choice
20220502,m1-910,11.4439695317498,m1-671,f1-229,2022-01-18,up_selected,first choice
20220502,m1-912,19.6127626608206,m1-612,f1-234,2022-01-18,up_selected,first choice
20220503,m1-918,15.2122038377549,m1-793,f1-182,2022-01-18,up_selected,first choice
20220503,m1-923,15.7904253747988,m1-573,f1-194,2022-01-18,up_selected,first choice
20220503,m1-924,13.3315584344233,m1-794,f1-173,2022-01-19,up_selected,first choice
20220509,m1-942,11.0258168983412,m1-679,f1-202,2022-01-21,up_selected,first choice
20220510,m1-953,7.78997744482731,m1-578,f1-206,2022-01-21,up_selected,first choice
20220511,m1-955,7.53693989091652,m1-619,f1-210,2022-01-21,up_selected,first choice
20220511,m1-958,10.9699627751859,m1-842,f1-213,2022-01-21,up_selected,first choice
20220512,m1-972,5.22590812121618,m1-612,f1-233,2022-01-21,up_selected,first choice
20220512,m1-973,10.1707689911434,m1-607,f1-209,2022-01-24,up_selected,first choice
20220512,m1-991,10.2185834613557,m1-573,f1-193,2022-01-24,up_selected,first choice
20220513,m1-1015,15.5574782403588,m1-833,f1-178,2022-01-31,up_selected,first choice
20220513,m1-999,14.0460759695641,m1-579,f1-221,2022-01-27,up_selected,first choice
20220516,m1-1016,19.4505693857227,m1-728,f1-185,2022-01-31,up_selected,first choice
20220516,m1-1020,10.3396340986405,m1-728,f1-186,2022-01-31,up_selected,first choice
20220516,m1-1022,10.3321127758064,m1-579,f1-222,2022-01-31,up_selected,first choice
20220517,m1-1027,19.7512907852507,m1-577,f1-205,2022-02-01,up_selected,first choice
20220517,m1-1029,7.89756142301006,m1-772,f1-214,2022-02-01,up_selected,first choice
20220517,m1-1033,11.6894404373774,m1-725,f1-174,2022-02-01,up_selected,first choice
20220519,m1-1057,13.5666906621729,m1-780,f1-237,2022-02-04,up_selected,first choice
20220519,m1-1066,21.8450053041302,m1-539,f1-166,2022-02-07,up_selected,first choice
20220524,m1-1071,18.4388703460867,m1-556,f1-189,2022-02-07,up_selected,first choice
20220524,m1-1074,13.1835690221328,m1-585,f1-198,2022-02-07,up_selected,first choice
20220526,m1-1085,12.0691485672595,m1-782,f1-225,2022-02-10,up_selected,first choice
20220526,m1-1096,9.7307155107204,m1-647,f1-217,2022-02-11,up_selected,first choice
20220526,m1-1099,13.3815641251454,m1-782,f1-226,2022-02-14,up_selected,first choice
20220526,m1-1100,15.8744648588284,m1-780,f1-238,2022-02-14,up_selected,first choice
20220526,m1-1110,15.9641387088547,m1-600,f1-170,2022-02-14,up_selected,first choice
20220526,m1-1113,15.0365979544277,m1-556,f1-190,2022-02-14,up_selected,first choice
20220511,m1-954,6.67799289655482,m1-619,f1-210,2022-01-21,up_selected,first choice
20220426,m1-873,7.35951691547677,m1-594,f1-162,2022-01-17,up_selected,first choice
20220411,m1-855,7.4762006678987,m1-596,f1-169,2022-01-12,up_selected,first choice
20220517,m1-1028,8.06260474296058,m1-577,f1-205,2022-02-01,up_selected,first choice
20220509,m1-940,8.28810220415145,m1-679,f1-202,2022-01-21,up_selected,first choice
20220512,m1-974,8.31604883636656,m1-607,f1-209,2022-01-24,up_selected,first choice
20220502,m1-899,8.42858668620555,m1-780,f1-238,2022-01-17,up_selected,first choice
20220503,m1-917,8.77289650383695,m1-793,f1-182,2022-01-18,up_selected,first choice
20220429,m1-893,8.78301275928732,m1-647,f1-217,2022-01-17,up_selected,first choice
20220516,m1-1024,8.97261445606074,m1-579,f1-222,2022-01-31,up_selected,first choice
20220513,m1-1014,9.02409444255623,m1-833,f1-178,2022-01-31,up_selected,first choice
20220419,m1-864,9.84898918820398,m1-782,f1-225,2022-01-12,up_selected,first choice
20220511,m1-963,10.0296837530563,m1-842,f1-213,2022-01-21,up_selected,first choice
20220516,m1-1021,10.127620755732,m1-728,f1-186,2022-01-31,up_selected,first choice
20220512,m1-990,10.144135756504,m1-573,f1-193,2022-01-24,up_selected,first choice
20220517,m1-1034,10.1564299739899,m1-725,f1-174,2022-02-01,up_selected,backup sample
20220502,m1-909,10.2471684145449,m1-671,f1-229,2022-01-18,up_selected,backup sample
20220526,m1-1098,10.3475555046721,m1-782,f1-226,2022-02-14,up_selected,backup sample
20220419,m1-865,10.8617564500259,m1-780,f1-237,2022-01-13,up_selected,backup sample
20220427,m1-876,10.8802488816189,m1-753,f1-165,2022-01-17,up_selected,backup sample
20220502,m1-896,10.9065405120448,m1-671,f1-230,2022-01-17,up_selected,backup sample
20220526,m1-1114,12.1468041089614,m1-556,f1-190,2022-02-14,up_selected,backup sample
20220407,m1-845,12.3515052793306,m1-539,f1-166,2022-01-10,up_selected,backup sample
20220503,m1-929,12.5084450363626,m1-794,f1-173,2022-01-19,up_selected,backup sample
20220407,m1-848,12.5164021593615,m1-556,f1-189,2022-01-10,up_selected,backup sample
