date,fish_id,car_perc,sire,dam,date_of_birth,selection
20220407,m1-846,10.5842463666984,m1-539,f1-166,,up_selected
20220407,m1-847,11.0651648994819,m1-539,f1-166,,up_selected
20220407,m1-849,9.89051305124655,m1-556,f1-189,,up_selected
20220411,m1-857,7.45237389627058,m1-596,f1-169,,up_selected
20220419,m1-860,7.78252326843318,m1-585,f1-198,,up_selected
20220419,m1-862,11.4462634895512,m1-585,f1-198,,up_selected
20220427,m1-885,10.6239020016276,m1-556,f1-190,,up_selected
20220429,m1-890,8.36647564931611,m1-647,f1-217,,up_selected
20220502,m1-897,7.99487655057719,m1-671,f1-230,,up_selected
20220502,m1-901,13.7909688514328,m1-818,f1-218,,up_selected
20220502,m1-902,11.1208210465269,m1-818,f1-218,,up_selected
20220502,m1-905,15.8906967352407,m1-818,f1-218,,up_selected
20220502,m1-908,8.96566283910401,m1-671,f1-229,,up_selected
20220502,m1-911,15.3860633377965,m1-612,f1-234,,up_selected
20220502,m1-913,16.96186447654,m1-612,f1-234,,up_selected
20220503,m1-916,8.21602785159122,m1-793,f1-182,,up_selected
20220503,m1-919,14.2505393238803,m1-573,f1-194,,up_selected
20220503,m1-921,12.9275714485656,m1-573,f1-194,,up_selected
20220503,m1-926,12.4246496858112,m1-794,f1-173,,up_selected
20220503,m1-927,7.70789539520339,m1-794,f1-173,,up_selected
20220503,m1-928,7.61135625263116,m1-794,f1-173,,up_selected
20220509,m1-939,7.68525333155372,m1-679,f1-202,,up_selected
20220512,m1-989,8.31338722697469,m1-573,f1-193,,up_selected
20220513,m1-1000,11.4213951994434,m1-579,f1-221,,up_selected
20220513,m1-995,10.6657744974007,m1-579,f1-221,,up_selected
20220513,m1-997,13.1351069819891,m1-579,f1-221,,up_selected
20220516,m1-1017,10.1289461060724,m1-728,f1-185,,up_selected
20220516,m1-1018,13.2452989452677,m1-728,f1-185,,up_selected
20220517,m1-1026,7.18160591137852,m1-577,f1-205,,up_selected
20220517,m1-1035,9.49669602145766,m1-725,f1-174,,up_selected
20220519,m1-1058,10.005214941132,m1-780,f1-237,,up_selected
20220519,m1-1068,9.9271032244787,m1-539,f1-166,,up_selected
20220524,m1-1072,11.816647199821,m1-556,f1-189,,up_selected
20220524,m1-1073,12.6212527929748,m1-585,f1-198,,up_selected
20220526,m1-1084,8.91015519447056,m1-782,f1-225,,up_selected
20220526,m1-1086,8.02158926264266,m1-782,f1-225,,up_selected
20220526,m1-1087,9.20948701990013,m1-782,f1-225,,up_selected
20220526,m1-1106,10.7450983785985,m1-600,f1-170,,up_selected
20220526,m1-1108,15.6150200677011,m1-600,f1-170,,up_selected
20220526,m1-1109,8.53347097912639,m1-600,f1-170,,up_selected
