fish_id,car_perc,date.x,sire,dam,date_of_birth,selection,date.y,sample_priority
m2-1008,1.97579543419212,20220822,m2-759,f2-223,2022-04-11,down_selected,20220822,first choice
m2-1046,5.38536351770637,20220829,m2-654,f2-187,2022-04-18,down_selected,20220829,first choice
m2-1048,5.366219682552,20220829,m2-754,f2-175,2022-04-18,down_selected,20220829,first choice
m2-1077,5.13199883940469,20220906,m2-689,f2-231,2022-04-18,down_selected,20220906,first choice
m2-791,3.10418845213057,20220616,m2-529,f2-212,2022-03-18,down_selected,20220616,first choice
m2-796,2.06153841901925,20220616,m2-607,f2-207,2022-03-21,down_selected,20220616,first choice
m2-803,2.28692876076296,20220617,m2-501,f2-215,2022-03-21,down_selected,20220617,first choice
m2-822,1.87843260830979,20220704,m2-437,f2-168,2022-03-21,down_selected,20220704,first choice
m2-830,6.15819674809713,20220704,m2-726,f2-199,2022-03-21,down_selected,20220704,first choice
m2-837,4.32955888884536,20220705,m2-455,f2-163,2022-03-22,down_selected,20220705,first choice
m2-843,6.66550083272971,20220705,m2-428,f2-194,2022-03-28,down_selected,20220705,first choice
m2-854,1.95753027844743,20220708,m2-743,f2-239,2022-03-21,down_selected,20220708,first choice
m2-864,1.18356052011099,20220711,m2-478,f2-227,2022-03-22,down_selected,20220711,first choice
m2-865,4.63591785798251,20220711,m2-689,f2-232,2022-03-22,down_selected,20220711,first choice
m2-872,6.393955340955,20220712,m2-526,f2-220,2022-03-23,down_selected,20220712,first choice
m2-875,2.10380897800423,20220712,m2-502,f2-235,2022-03-23,down_selected,20220712,first choice
m2-886,5.09170887916137,20220712,m2-658,f2-211,2022-03-25,down_selected,20220712,first choice
m2-891,4.50990624005567,20220713,m2-762,f2-219,2022-03-25,down_selected,20220713,first choice
m2-896,3.29514961225343,20220715,m2-759,f2-224,2022-03-25,down_selected,20220715,first choice
m2-899,2.05313409273459,20220715,m2-672,f2-203,2022-03-28,down_selected,20220715,first choice
m2-907,3.87197586690842,20220718,m2-734,f2-216,2022-03-28,down_selected,20220718,first choice
m2-912,3.03672780041411,20220718,m2-743,f2-240,2022-03-28,down_selected,20220718,first choice
m2-920,1.76561280989161,20220721,m2-435,f2-191,2022-03-30,down_selected,20220721,first choice
m2-923,2.97581431430856,20220721,m2-728,f2-172,2022-04-01,down_selected,20220721,first choice
m2-929,2.93080724488951,20220721,m2-726,f2-200,2022-04-04,down_selected,20220721,first choice
m2-941,6.44963906204524,20220722,m2-502,f2-236,2022-04-04,down_selected,20220722,first choice
m2-947,4.07322149220223,20220722,m2-654,f2-186,2022-04-04,down_selected,20220722,first choice
m2-951,3.62389017059955,20220727,m2-713,f2-198,2022-04-04,down_selected,20220727,first choice
m2-955,1.71421282390425,20220727,m2-454,f2-164,2022-04-05,down_selected,20220727,first choice
m2-968,2.79953049978621,20220728,m2-710,f2-182,2022-04-06,down_selected,20220728,first choice
m2-970,4.06201158573508,20220728,m2-710,f2-183,2022-04-06,down_selected,20220728,first choice
m2-979,0,20220802,m2-435,f2-190,2022-03-21,down_selected,20220802,first choice
m2-983,0.00153482518341161,20220809,m2-438,f2-167,2022-03-30,down_selected,20220809,first choice
m2-987,4.62490605035443,20220809,m2-565,f2-176,2022-04-07,down_selected,20220809,first choice
m2-990,3.90796889260921,20220810,m2-605,f2-171,2022-04-08,down_selected,20220810,first choice
