fish_id,car_perc,date,sire,dam,date_of_birth,selection
m3-1001,3.50016156471089,20221129,m3-674,f3-198,2022-06-08,down_selected
m3-1004,3.57598068635982,20221129,m3-674,f3-198,2022-06-08,down_selected
m3-1027,4.9476745366966,20221130,m3-699,f3-207,2022-06-13,down_selected
m3-734,2.21334697311003,20221024,m3-418,f3-164,2022-05-12,down_selected
m3-753,5.47682423816362,20221027,m3-518,f3-215,2022-05-17,down_selected
m3-754,5.54017529358219,20221027,m3-518,f3-215,2022-05-17,down_selected
m3-755,4.43473500305118,20221027,m3-518,f3-215,2022-05-17,down_selected
m3-759,4.74521528771619,20221027,m3-695,f3-220,2022-05-17,down_selected
m3-761,5.09880894396463,20221027,m3-695,f3-220,2022-05-17,down_selected
m3-770,4.11429717771736,20221028,m3-686,f3-212,2022-05-19,down_selected
m3-772,2.97159276076486,20221028,m3-686,f3-212,2022-05-19,down_selected
m3-774,4.41109890913115,20221028,m3-686,f3-212,2022-05-19,down_selected
m3-796,3.05706753177241,20221101,m3-603,f3-175,2022-05-19,down_selected
m3-812,2.82390031232077,20221102,m3-521,f3-183,2022-05-20,down_selected
m3-813,3.78349751072776,20221102,m3-521,f3-183,2022-05-20,down_selected
m3-825,4.67898664398045,20221102,m3-629,f3-172,2022-05-23,down_selected
m3-828,3.98703791514155,20221102,m3-629,f3-172,2022-05-23,down_selected
m3-867,4.44007919362484,20221108,m3-701,f3-240,2022-05-26,down_selected
m3-885,4.36762225429369,20221115,m3-636,f3-211,2022-06-27,down_selected
m3-908,4.98578474276487,20221118,m3-604,f3-190,2022-05-30,down_selected
m3-911,2.66115668842285,20221118,m3-491,f3-168,2022-05-31,down_selected
m3-914,2.9484895115922,20221118,m3-491,f3-168,2022-05-31,down_selected
m3-915,5.42844362210798,20221118,m3-491,f3-168,2022-05-31,down_selected
m3-923,4.04159377794994,20221121,m3-730,f3-224,2022-05-31,down_selected
m3-931,3.38811510311897,20221123,m3-622,f3-171,2022-06-02,down_selected
m3-932,3.69625795410207,20221123,m3-622,f3-171,2022-06-02,down_selected
m3-934,5.03985709185369,20221123,m3-622,f3-171,2022-06-02,down_selected
m3-936,4.14721733915228,20221123,m3-540,f3-179,2022-06-02,down_selected
m3-938,4.66924208560152,20221123,m3-540,f3-179,2022-06-02,down_selected
m3-940,4.47193220762463,20221123,m3-540,f3-179,2022-06-02,down_selected
m3-948,4.36978596879985,20221123,m3-705,f3-228,2022-06-03,down_selected
m3-958,5.30737502527957,20221125,m3-543,f3-194,2022-06-06,down_selected
m3-960,5.27924023560383,20221125,m3-543,f3-195,2022-06-06,down_selected
m3-962,3.84162047603225,20221125,m3-543,f3-195,2022-06-06,down_selected
m3-978,3.02494203852523,20221128,m3-682,f3-219,2022-06-07,down_selected
m3-979,3.42137704503917,20221128,m3-682,f3-219,2022-06-07,down_selected
m3-981,3.03532657354426,20221128,m3-682,f3-219,2022-06-07,down_selected
m3-989,2.19840039632587,20221128,m3-418,f3-164,2022-06-08,down_selected
m3-990,2.53926595383493,20221128,m3-418,f3-164,2022-06-08,down_selected
m3-999,2.9130429839665,20221129,m3-674,f3-198,2022-06-08,down_selected
