fish_id,car_perc,date,sire,dam,date_of_birth,selection
m3-1021,12.6912256713279,20221130,m3-460,f3-202,2022-06-13,up_selected
m3-1024,11.633737681999,20221130,m3-460,f3-202,2022-06-13,up_selected
m3-1033,16.5034677381484,20221130,m3-566,f3-193,2022-06-14,up_selected
m3-1034,12.0219159730023,20221130,m3-566,f3-193,2022-06-14,up_selected
m3-1039,18.4986453858468,20221130,m3-654,f3-162,2022-06-13,up_selected
m3-1046,16.8856024906998,20221130,m3-576,f3-230,2022-06-14,up_selected
m3-741,20.0341560215145,20221024,m3-460,f3-202,2022-05-13,up_selected
m3-743,12.1846664259397,20221024,m3-559,f3-188,2022-05-16,up_selected
m3-744,11.5103933187825,20221024,m3-559,f3-188,2022-05-16,up_selected
m3-745,12.3220785754328,20221024,m3-559,f3-188,2022-05-16,up_selected
m3-749,10.1854064937631,20221024,m3-654,f3-162,2022-05-17,up_selected
m3-762,11.472078743731,20221027,m3-511,f3-205,2022-05-18,up_selected
m3-765,15.8487535250003,20221027,m3-591,f3-174,2022-05-18,up_selected
m3-776,10.4750988826431,20221028,m3-481,f3-221,2022-05-19,up_selected
m3-777,16.3810964536167,20221028,m3-481,f3-221,2022-05-19,up_selected
m3-780,13.290990262065,20221028,m3-481,f3-221,2022-05-19,up_selected
m3-800,12.5660846063113,20221101,m3-427,f3-184,2022-05-19,up_selected
m3-803,11.3879967223351,20221101,m3-427,f3-184,2022-05-19,up_selected
m3-805,17.0767359522976,20221101,m3-427,f3-184,2022-05-19,up_selected
m3-809,12.3644994835601,20221101,m3-733,f3-166,2022-05-20,up_selected
m3-839,18.4480436588185,20221104,m3-576,f3-229,2022-05-23,up_selected
m3-840,13.6575627739436,20221104,m3-576,f3-229,2022-05-23,up_selected
m3-850,16.333924664858,20221107,m3-596,f3-177,2022-05-24,up_selected
m3-889,11.8843304645745,20221115,m3-530,f3-214,2022-05-30,up_selected
m3-891,9.99615421641085,20221115,m3-530,f3-214,2022-05-30,up_selected
m3-893,10.9576638331714,20221115,m3-530,f3-214,2022-05-30,up_selected
m3-897,10.4928270875701,20221115,m3-594,f3-173,2022-05-30,up_selected
m3-898,16.996914420954,20221115,m3-594,f3-173,2022-05-30,up_selected
m3-901,14.0167625282086,20221115,m3-398,f3-178,2022-05-30,up_selected
m3-902,14.3243575814253,20221115,m3-398,f3-178,2022-05-30,up_selected
m3-918,24.2337779601255,20221121,m3-598,f3-217,2022-05-31,up_selected
m3-919,16.8004127422641,20221121,m3-598,f3-217,2022-05-31,up_selected
m3-928,11.2102737662465,20221122,m3-607,f3-233,2022-05-31,up_selected
m3-930,14.6748767266605,20221122,m3-607,f3-233,2022-05-31,up_selected
m3-956,14.6062502299154,20221122,m3-607,f3-233,2022-05-31,up_selected
m3-969,10.2187543830243,20221128,m3-597,f3-170,2022-06-07,up_selected
m3-971,10.1743198444973,20221128,m3-597,f3-170,2022-06-07,up_selected
m3-975,11.2483539037673,20221128,m3-611,f3-226,2022-06-07,up_selected
m3-982,11.4037175889552,20221128,m3-511,f3-205,2022-06-08,up_selected
m3-985,11.4700685855442,20221128,m3-511,f3-205,2022-06-08,up_selected
