sample_name,fish_id,Y_haplogroup
NS.2118.001.IDT_i7_100---IDT_i5_100.5,m1-1015,Y1
NS.2118.001.IDT_i7_101---IDT_i5_101.45,m1-923,Y1
NS.2118.001.IDT_i7_102---IDT_i5_102.112,m1-1065,Y2
NS.2118.001.IDT_i7_103---IDT_i5_103.46,m1-924,Y1
NS.2118.001.IDT_i7_104---IDT_i5_104.39,m1-971,Y3
NS.2118.001.IDT_i7_105---IDT_i5_105.343,m3-751,Y1
NS.2118.001.IDT_i7_106---IDT_i5_106.341,m3-859,Y1
NS.2118.001.IDT_i7_110---IDT_i5_110.113,m1-1110,Y2
NS.2118.001.IDT_i7_111---IDT_i5_111.270,m3-973,Y1
NS.2118.001.IDT_i7_112---IDT_i5_112.36,m1-1112,Y3
NS.2118.001.IDT_i7_113---IDT_i5_113.174,m2-842,Y1
NS.2118.001.IDT_i7_114---IDT_i5_114.96,m1-854,Y4
NS.2118.001.IDT_i7_116---IDT_i5_116.71,m1-952,Y2
NS.2118.001.IDT_i7_117---IDT_i5_117.83,m1-887,Y3
NS.2118.001.IDT_i7_118---IDT_i5_118.167,m2-983,Y3
NS.2118.001.IDT_i7_121---IDT_i5_121.90,m1-869,Y1
NS.2118.001.IDT_i7_122---IDT_i5_122.296,m3-799,Y2
NS.2118.001.IDT_i7_123---IDT_i5_123.205,m2-1011,Y1
NS.2118.001.IDT_i7_124---IDT_i5_124.194,m2-997,Y1
NS.2118.001.IDT_i7_125---IDT_i5_125.114,m1-1113,Y1
NS.2118.001.IDT_i7_126---IDT_i5_126.188,m2-843,Y1
NS.2118.001.IDT_i7_127---IDT_i5_127.301,m3-807,Y1
NS.2118.001.IDT_i7_128---IDT_i5_128.86,m1-873,Y1
NS.2118.001.IDT_i7_129---IDT_i5_129.40,m1-976,
NS.2118.001.IDT_i7_130---IDT_i5_130.184,m2-837,Y2
NS.2118.001.IDT_i7_133---IDT_i5_133.183,m2-831,Y2
NS.2118.001.IDT_i7_134---IDT_i5_134.13,m1-1022,Y1
NS.2118.001.IDT_i7_135---IDT_i5_135.253,m3-929,Y1
NS.2118.001.IDT_i7_136---IDT_i5_136.7,m1-1003,Y2
NS.2118.001.IDT_i7_137---IDT_i5_137.222,m2-944,Y2
NS.2118.001.IDT_i7_138---IDT_i5_138.43,m1-979,
NS.2118.001.IDT_i7_139---IDT_i5_139.332,m3-884,Y2
NS.2118.001.IDT_i7_140---IDT_i5_140.97,m1-991,Y1
NS.2118.001.IDT_i7_141---IDT_i5_141.137,m2-816,Y1
NS.2118.001.IDT_i7_145---IDT_i5_145.95,m1-853,Y1
NS.2118.001.IDT_i7_146---IDT_i5_146.64,m1-946,
NS.2118.001.IDT_i7_147---IDT_i5_147.41,m1-955,Y4
NS.2118.001.IDT_i7_148---IDT_i5_148.238,m2-1033,Y2
NS.2118.001.IDT_i7_149---IDT_i5_149.6,m1-1016,Y1
NS.2118.001.IDT_i7_150---IDT_i5_150.130,m2-806,Y1
NS.2118.001.IDT_i7_151---IDT_i5_151.78,m1-1096,Y1
NS.2118.001.IDT_i7_152---IDT_i5_152.138,m2-1037,Y4
NS.2118.001.IDT_i7_153---IDT_i5_153.115,m1-1069,Y1
NS.2118.001.IDT_i7_154---IDT_i5_154.103,m1-859,
NS.2118.001.IDT_i7_157---IDT_i5_157.12,m1-1013,Y2
NS.2118.001.IDT_i7_158---IDT_i5_158.153,m2-860,Y1
NS.2118.001.IDT_i7_159---IDT_i5_159.79,m1-880,Y1
NS.2118.001.IDT_i7_160---IDT_i5_160.229,m2-964,Y1
NS.2118.001.IDT_i7_161---IDT_i5_161.346,m3-763,Y1
NS.2118.001.IDT_i7_162---IDT_i5_162.31,m1-1094,Y2
NS.2118.001.IDT_i7_163---IDT_i5_163.20,m1-1040,Y2
NS.2118.001.IDT_i7_164---IDT_i5_164.288,m3-1029,Y2
NS.2118.001.IDT_i7_165---IDT_i5_165.88,m1-910,Y1
NS.2118.001.IDT_i7_166---IDT_i5_166.193,m2-1020,Y1
NS.2118.001.IDT_i7_169---IDT_i5_169.321,m3-835,Y1
NS.2118.001.IDT_i7_170---IDT_i5_170.200,m2-907,
NS.2118.001.IDT_i7_171---IDT_i5_171.159,m2-889,Y3
NS.2118.001.IDT_i7_172---IDT_i5_172.72,m1-964,Y1
NS.2118.001.IDT_i7_173---IDT_i5_173.18,m1-1028,Y1
NS.2118.001.IDT_i7_174---IDT_i5_174.282,m3-1014,Y1
NS.2118.001.IDT_i7_175---IDT_i5_175.177,m2-845,Y1
NS.2118.001.IDT_i7_176---IDT_i5_176.352,m3-775,Y2
NS.2118.001.IDT_i7_177---IDT_i5_177.120,m1-1078,Y2
NS.2118.001.IDT_i7_178---IDT_i5_178.2,m1-1014,Y2
NS.2118.001.IDT_i7_181---IDT_i5_181.257,m3-953,Y1
NS.2118.001.IDT_i7_182---IDT_i5_182.191,m2-844,Y1
NS.2118.001.IDT_i7_184---IDT_i5_184.209,m2-918,Y1
NS.2118.001.IDT_i7_185---IDT_i5_185.224,m2-947,Y3
NS.2118.001.IDT_i7_186---IDT_i5_186.249,m3-925,Y1
NS.2118.001.IDT_i7_187---IDT_i5_187.26,m1-1057,Y4
NS.2118.001.IDT_i7_188---IDT_i5_188.182,m2-779,Y1
NS.2118.001.IDT_i7_189---IDT_i5_189.244,m3-909,Y2
NS.2118.001.IDT_i7_33---IDT_i5_33.61,m1-990,Y1
NS.2118.001.IDT_i7_98---IDT_i5_98.158,m2-868,Y1
NS.2118.001.IDT_i7_99---IDT_i5_99.217,m2-937,Y1
NS.2118.002.IDT_i7_1---IDT_i5_1.290,m3-1037,Y1
NS.2118.002.IDT_i7_107---IDT_i5_107.60,m1-936,Y1
NS.2118.002.IDT_i7_108---IDT_i5_108.128,m2-803,Y2
NS.2118.002.IDT_i7_119---IDT_i5_119.307,m3-826,Y2
NS.2118.002.IDT_i7_120---IDT_i5_120.239,m2-970,Y3
NS.2118.002.IDT_i7_13---IDT_i5_13.151,m2-873,
NS.2118.002.IDT_i7_131---IDT_i5_131.38,m1-942,Y2
NS.2118.002.IDT_i7_132---IDT_i5_132.312,m3-855,Y1
NS.2118.002.IDT_i7_14---IDT_i5_14.353,m3-767,Y4
NS.2118.002.IDT_i7_143---IDT_i5_143.300,m3-814,Y2
NS.2118.002.IDT_i7_144---IDT_i5_144.325,m3-838,Y4
NS.2118.002.IDT_i7_15---IDT_i5_15.293,m3-1038,Y1
NS.2118.002.IDT_i7_156---IDT_i5_156.331,m3-883,Y2
NS.2118.002.IDT_i7_16---IDT_i5_16.166,m2-915,Y1
NS.2118.002.IDT_i7_167---IDT_i5_167.324,m3-876,Y2
NS.2118.002.IDT_i7_168---IDT_i5_168.132,m2-1045,Y3
NS.2118.002.IDT_i7_179---IDT_i5_179.232,m2-955,Y2
NS.2118.002.IDT_i7_18---IDT_i5_18.94,m1-907,Y1
NS.2118.002.IDT_i7_190---IDT_i5_190.162,m2-882,Y1
NS.2118.002.IDT_i7_191---IDT_i5_191.228,m2-951,Y2
NS.2118.002.IDT_i7_2---IDT_i5_2.335,m3-886,
NS.2118.002.IDT_i7_25---IDT_i5_25.247,m3-913,Y3
NS.2118.002.IDT_i7_26---IDT_i5_26.3,m1-993,Y2
NS.2118.002.IDT_i7_27---IDT_i5_27.350,m3-766,Y1
NS.2118.002.IDT_i7_28---IDT_i5_28.223,m2-942,Y2
NS.2118.002.IDT_i7_3---IDT_i5_3.251,m3-917,Y3
NS.2118.002.IDT_i7_30---IDT_i5_30.292,m3-1036,Y2
NS.2118.002.IDT_i7_31---IDT_i5_31.175,m2-990,Y2
NS.2118.002.IDT_i7_32---IDT_i5_32.179,m2-822,Y3
NS.2118.002.IDT_i7_33---IDT_i5_33.110,m1-855,Y2
NS.2118.002.IDT_i7_37---IDT_i5_37.21,m1-1029,Y4
NS.2118.002.IDT_i7_38---IDT_i5_38.121,m2-1057,Y1
NS.2118.002.IDT_i7_39---IDT_i5_39.99,m1-914,Y2
NS.2118.002.IDT_i7_4---IDT_i5_4.306,m3-817,Y1
NS.2118.002.IDT_i7_40---IDT_i5_40.33,m1-1074,Y1
NS.2118.002.IDT_i7_41---IDT_i5_41.344,m3-752,Y2
NS.2118.002.IDT_i7_42---IDT_i5_42.329,m3-842,Y1
NS.2118.002.IDT_i7_43---IDT_i5_43.274,m3-996,Y1
NS.2118.002.IDT_i7_44---IDT_i5_44.105,m1-864,Y1
NS.2118.002.IDT_i7_45---IDT_i5_45.268,m3-945,Y2
NS.2118.002.IDT_i7_49---IDT_i5_49.144,m2-865,Y1
NS.2118.002.IDT_i7_5---IDT_i5_5.37,m1-940,Y4
NS.2118.002.IDT_i7_50---IDT_i5_50.156,m2-887,Y3
NS.2118.002.IDT_i7_51---IDT_i5_51.267,m3-943,Y2
NS.2118.002.IDT_i7_52---IDT_i5_52.181,m2-777,Y1
NS.2118.002.IDT_i7_53---IDT_i5_53.8,m1-1007,Y1
NS.2118.002.IDT_i7_54---IDT_i5_54.11,m1-1009,Y2
NS.2118.002.IDT_i7_55---IDT_i5_55.16,m1-1030,
NS.2118.002.IDT_i7_56---IDT_i5_56.220,m2-941,Y2
NS.2118.002.IDT_i7_6---IDT_i5_6.176,m2-993,Y2
NS.2118.002.IDT_i7_61---IDT_i5_61.180,m2-830,Y2
NS.2118.002.IDT_i7_62---IDT_i5_62.330,m3-845,Y1
NS.2118.002.IDT_i7_63---IDT_i5_63.29,m1-1066,Y1
NS.2118.002.IDT_i7_64---IDT_i5_64.236,m2-968,Y3
NS.2118.002.IDT_i7_65---IDT_i5_65.9,m1-1020,Y1
NS.2118.002.IDT_i7_66---IDT_i5_66.212,m2-1008,Y2
NS.2118.002.IDT_i7_67---IDT_i5_67.160,m2-891,Y3
NS.2118.002.IDT_i7_68---IDT_i5_68.214,m2-936,Y1
NS.2118.002.IDT_i7_69---IDT_i5_69.231,m2-952,Y2
NS.2118.002.IDT_i7_7---IDT_i5_7.185,m2-780,Y1
NS.2118.002.IDT_i7_73---IDT_i5_73.204,m2-909,Y1
NS.2118.002.IDT_i7_74---IDT_i5_74.361,m3-895,Y1
NS.2118.002.IDT_i7_75---IDT_i5_75.338,m3-856,Y1
NS.2118.002.IDT_i7_76---IDT_i5_76.311,m3-852,Y1
NS.2118.002.IDT_i7_77---IDT_i5_77.148,m2-872,
NS.2118.002.IDT_i7_78---IDT_i5_78.216,m2-923,Y3
NS.2118.002.IDT_i7_79---IDT_i5_79.264,m3-942,Y2
NS.2118.002.IDT_i7_80---IDT_i5_80.10,m1-1021,Y1
NS.2118.002.IDT_i7_86---IDT_i5_86.218,m2-939,Y1
NS.2118.002.IDT_i7_89---IDT_i5_89.87,m1-912,Y2
NS.2118.002.IDT_i7_90---IDT_i5_90.190,m2-1017,Y1
NS.2118.002.IDT_i7_91---IDT_i5_91.237,m2-1031,Y2
NS.2118.002.IDT_i7_92---IDT_i5_92.263,m3-939,Y2
NS.2125.002.IDT_i7_1---IDT_i5_1.75,m1-966,Y1
NS.2125.002.IDT_i7_10---IDT_i5_10.192,m2-896,Y2
NS.2125.002.IDT_i7_100---IDT_i5_100.63,m1-938,Y1
NS.2125.002.IDT_i7_109---IDT_i5_109.266,m3-968,Y1
NS.2125.002.IDT_i7_11---IDT_i5_11.202,m2-1010,Y1
NS.2125.002.IDT_i7_110---IDT_i5_110.297,m3-1047,Y1
NS.2125.002.IDT_i7_112---IDT_i5_112.15,m1-1025,Y3
NS.2125.002.IDT_i7_12---IDT_i5_12.23,m1-1042,Y2
NS.2125.002.IDT_i7_121---IDT_i5_121.360,m3-786,
NS.2125.002.IDT_i7_122---IDT_i5_122.354,m3-781,Y4
NS.2125.002.IDT_i7_123---IDT_i5_123.215,m2-920,Y2
NS.2125.002.IDT_i7_124---IDT_i5_124.116,m1-1070,Y1
NS.2125.002.IDT_i7_13---IDT_i5_13.149,m2-852,Y1
NS.2125.002.IDT_i7_133---IDT_i5_133.30,m1-1071,Y1
NS.2125.002.IDT_i7_134---IDT_i5_134.348,m3-758,Y3
NS.2125.002.IDT_i7_14---IDT_i5_14.127,m2-796,Y2
NS.2125.002.IDT_i7_145---IDT_i5_145.85,m1-1100,Y1
NS.2125.002.IDT_i7_146---IDT_i5_146.226,m2-959,Y4
NS.2125.002.IDT_i7_147---IDT_i5_147.342,m3-874,Y1
NS.2125.002.IDT_i7_15---IDT_i5_15.134,m2-814,Y1
