#IID	car_perc	mel_perc_v2	car_PIE_1	car_PIE_2	car_PIE_3	car_PIE_4	car_PIE_5	mel_PIE_1	mel_PIE_2	mel_PIE_3	mel_PIE_4	mel_PIE_5	pa_car_1	pa_car_2	pa_car_3	pa_car_4	pa_car_5	pa_car_6	pa_car_7	pa_mel_1	pa_mel_2	pa_mel_3	pa_mel_4	pa_mel_5	pa_mel_6	pa_mel_7	pa_mel_8
NS.2118.001.IDT_i7_100---IDT_i5_100.5	1.675567730548187	-0.5365155321193098	0.07460030551032079	0.8937047186551437	0.3067290059842589	0.8285194697731109	0.3249183986714037	0.4481013444932169	0.005501003150122169	-0.2753102244944419	0.3193552981446629	0.4165051362739103	0	1	1	1	1	1	0	0	0	1	0	1	0	0.5	0
NS.2118.001.IDT_i7_101---IDT_i5_101.45	1.7068245204029004	0.9517478676259448	0.85155049820215	0.39926210314386856	0.4206976845747287	1.0048844522164524	1.0097368809003995	0.537369777759756	-0.1518033632083926	-1.1035782360675768	1.05771812578532	-0.2898461021897544	0.6666666666666666	1	1	1	1	1	0	0	0	1	0	0.5	0	0.3333333333333333	0.5
NS.2118.001.IDT_i7_102---IDT_i5_102.112	-1.0503936902344249	0.6619444199225266	-1.1414898210811124	-0.9793015311380575	-0.22939033079270132	-0.6341918120505301	-0.6408680508806202	0.0414145142184107	-0.381306554203488	0.5230152004478091	-0.3280791060494549	0.569287904410922	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0
NS.2118.001.IDT_i7_103---IDT_i5_103.46	1.30150878852535	1.1982255176636911	0.08215281493280988	0.0024904810976275615	2.6597716784028274	1.8476896401900564	1.9074152614776334	-0.16456731656781165	-1.1234977946441167	-0.7484592979934224	0.8552827174008679	-0.14504461664214505	0.25	1	0	1	1	1	0	0	0	1	0	0	0	1	1
NS.2118.001.IDT_i7_104---IDT_i5_104.39	-1.2472047069989747	1.5794899867750307	-0.02467641818091281	-0.8763980759285765	-1.2189333635652024	-1.6315170622589839	-1.3552391846844873	-0.7598111826492806	1.2146205700428732	1.638312145553817	-2.1642155476549862	-0.9711784512250917	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0
NS.2118.001.IDT_i7_105---IDT_i5_105.343	-0.8282328320695338	0.5748928463673664	-0.12287501850109198	0.5560680608272636	-0.3125520083532026	-0.23687314725319325	-0.33859334015335535	0.321266296596324	-0.5721002395968634	-0.7714452069641429	0.8490215537520516	0.2283474453728886	0	0	0.75	1	0	0.25	0	0	0	1	0	0	0	1	0
NS.2118.001.IDT_i7_106---IDT_i5_106.341	0.46246847252380413	0.11026238415777773	1.2284295037379003	1.1287605546783985	-0.34432968374766854	1.001013507124731	0.20237990934581526	-0.6900720763176494	-0.325970370744739	0.0661539495461673	0.007235328450878108	-0.1723952628098426	1	0	0.5	1	1	1	0	0	0	1	0	0	0	1	0
NS.2118.001.IDT_i7_110---IDT_i5_110.113	1.7285393436693952	0.016663512290526844	0.016577523617352166	-0.5340853827252017	-0.8821203156230424	-0.8298660017037519	-1.4515196777454895	0.08993821447497058	0.3515230644216296	0.19025340838278001	-0.4346706912590337	-0.6259705944660339	1	1	1	1	1	0	0	0.8333333333333333	0	0	0	0	0	1	0
NS.2118.001.IDT_i7_111---IDT_i5_111.270	1.5070315990369014	1.3167007264810926	1.4380853136839913	0.6790027276401633	-0.22568937871706418	0.7973154125600808	0.5382943252796785	-0.09497366247621675	0.47701329959754246	0.8089289066387667	-1.0123356415042548	-0.2434031881077892	1	0.3333333333333333	1	1	1	1	0	0.8333333333333333	0	0	0	0	0	1	0
NS.2118.001.IDT_i7_112---IDT_i5_112.36	-0.6364096617139909	-0.17265593677971558	0.8835448035548896	-0.6064561442796824	-1.5530739325351657	-0.8347217535156555	-0.8687604217529985	0.21836506425278576	-2.1954249526934495	-1.6684744520650745	1.6720924777425346	-0.8772471109230062	0	0	0	1	1	0	1	0	0	0	1	0	0	0.5	1
NS.2118.001.IDT_i7_113---IDT_i5_113.174	2.117932177042771	0.542267386383089	1.1820954766350855	-1.3861733399638698	1.5836648111854774	0.29418165506591276	2.565162642337786	0.3786966836591503	0.9504421604245494	-0.13083781087051644	-0.001279867181519255	-0.5628056758510653	0	1	1	1	1	1	0	1	0	0	0	0	1	1	0
NS.2118.001.IDT_i7_114---IDT_i5_114.96	0.07765823653914757	-0.4711995902062138	-1.207726300788541	0.9960382551632352	0.7595110241508799	0.40750127866609176	0.050665734555277855	1.6734440378597586	2.073650194217663	0.7253234826837633	-1.1553600717949064	1.0937730354900261	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0
NS.2118.001.IDT_i7_116---IDT_i5_116.71	-1.696277242567109	-2.019342458831568	-1.2148578909681265	-0.39883993174610766	-0.5417248688334367	-0.5556744639843624	-1.4570003229283386	1.0206825342249468	0.10568417122217016	-1.1134179656010164	1.0976146516198169	0.5688983951324519	0	0	0	1	1	0	0	0	0	0.5	0	0.5	0	0	0
NS.2118.001.IDT_i7_117---IDT_i5_117.83	-2.1327423491127147	-0.11601478715453209	-0.14196217421873547	-0.5815429008102309	-1.1417037354990494	-0.918885943962647	-1.2269161288798687	0.7202259619226367	-0.2449610565482312	-1.2919446989480385	1.3252926952804955	0.11145387087640993	0	0	0	1	1	0	0	0	0	1	0	0.5	0.5	0	1
NS.2118.001.IDT_i7_118---IDT_i5_118.167	-3.1639771387221582	-3.397988536083031	-0.030821285515121664	-0.08692196459805449	-0.8172929955022037	-0.3300240989631953	-0.6739891186836943	0.6706888098289906	-0.5891704754958795	-1.1683183834989954	1.228009093021071	0.25852533166123737	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
NS.2118.001.IDT_i7_121---IDT_i5_121.90	0.9726362188603115	-0.19054485210857197	-0.10909597995233417	1.7324198229821532	-0.34131733622532573	0.4016920894987347	-0.7529902484065759	-0.6093285090712871	-0.7812565134935439	-0.26186930313147283	0.42093146226848377	0.014244965987491177	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0
NS.2118.001.IDT_i7_122---IDT_i5_122.296	0.09895376109214638	1.133063773856409	-0.19604868826514701	-0.3829131563711522	-1.0747156362290127	-0.9578556861412459	-1.935904031268425	0.353834853365506	0.4112580381364602	0.16195162265856688	-0.2838167919282363	-0.03950128000147267	1	0	0.75	1	1	0	0	1	0	0.5	0	0	0	1	0
NS.2118.001.IDT_i7_123---IDT_i5_123.205	3.4647305051531725	0.23121956969060242	1.3342980481613858	0.45207848174490495	0.06663046375135179	0.9878262006943429	0.8842538053046594	0.6851824336044806	-0.12974858472015882	-0.960680399784026	1.0161327141837755	0.5069906480279364	1	1	1	1	1	1	0	0	0	1	0	0.75	0	0	1
NS.2118.001.IDT_i7_124---IDT_i5_124.194	2.6280283030219183	1.0331186124954264	0.26036603469754527	1.1319038290599717	-0.5742687458573432	-0.030781324962848827	-0.6933407878690017	1.0631443913655587	0.9961946178193138	-0.6034459686727769	0.34583414083853126	0.21594693454802905	1	1	1	1	0.5	1	0	0.25	0	0.5	0	1	0	0	0.5
NS.2118.001.IDT_i7_125---IDT_i5_125.114	1.6056562186401226	2.146363394975551	0.28391919605550486	-0.32215201153904494	2.2000936707500363	0.7913233297832801	2.096174210145441	-0.14084575364998397	-0.5807414251037039	0.6022177183776172	-0.13891623528535513	1.3296808056295109	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0.5
NS.2118.001.IDT_i7_126---IDT_i5_126.188	-0.1420870653687592	0.6633051990799554	0.9239059306175534	0.05088271674959395	-0.3321165174805273	-0.09793800527566482	0.5557824388773045	0.01398731035800712	-0.5393648958035395	-0.4317419632103974	0.5700564422027457	0.08948223656228742	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0
NS.2118.001.IDT_i7_127---IDT_i5_127.301	1.5673261575933575	0.2162037039981651	0.4165397623743635	-0.19214934386366517	0.7189662653469531	0.2600143138506963	1.2180249834504515	1.2270101844940084	1.5782676818124646	-0.367906834222106	0.011684683870866732	0.17930954747043276	0	0	1	1	1	1	0	1	0	0	0	1	0.5	0	0
NS.2118.001.IDT_i7_128---IDT_i5_128.86	0.0380771084760397	0.7408695526005116	0.4617249429963558	0.7542187405371219	-0.07865588973754511	0.5153550800945123	0.27427725139249703	0.8286074570232158	-0.3709846819611463	-0.9422424324461722	1.0010640429654094	0.647630078191618	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1
NS.2118.001.IDT_i7_129---IDT_i5_129.40	-0.6449467460025676	1.2690608254461633	1.4258474134474701	-0.44676577070858625	-1.916627615209989	-0.4592571525193042	-1.1476467623359587	1.479072985276021	1.6285571138627886	-0.5309729545304926	0.14788391912996565	0.1916210162268785	1	0	0	1	1	0	0	1	0	0	0	1	0	0.3333333333333333	0.5
NS.2118.001.IDT_i7_130---IDT_i5_130.184	-0.9583018220577358	-1.931456289118176	-0.792382466016139	-1.5713338248161683	-0.43747688193362844	-1.0852063926424238	-0.7000463999979258	-0.5996407603657197	-0.869007181056706	-0.8211885700514407	0.9789909234504066	-0.6302283132236097	0	0	0	1	1	0	0	0	0	0.25	0	0	1	0	0
NS.2118.001.IDT_i7_133---IDT_i5_133.183	-0.11190374270339552	-0.08524922306250196	-2.0706436277558584	-0.8691833351296283	-0.044708932474790034	-1.1379805596480739	-0.8744601162332796	-0.1067484338396037	-1.109238758810446	-0.5451247854775084	0.6746966124534239	0.11502980312738269	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0
NS.2118.001.IDT_i7_134---IDT_i5_134.13	0.7536296951444641	0.7766034231869542	-0.19326842974421926	0.4602901512143604	1.7360200638344094	1.3297671387232484	1.2829866370349938	-0.1418364456828783	-0.6464299154571982	0.4345099786085559	-0.06403245744464434	0.9684303754699141	0	1	0	1	1	1	0	1	0	0	0	0	0	1	1
NS.2118.001.IDT_i7_135---IDT_i5_135.253	2.9852268122352505	0.9260886401347288	2.1057353510592076	-0.20736965385335276	-0.14556631311282062	0.2715577678005865	1.2916482239113205	0.7583652589113374	0.25663632520468266	-0.8218311471571387	0.7207526482688345	0.04142244666522743	1	1	1	1	1	1	0	1	0	0	0	1	0	0.25	0.5
NS.2118.001.IDT_i7_136---IDT_i5_136.7	-1.253070228085701	-0.15507858500547722	-0.9959200480989555	-0.4272850473003193	-0.7043935219621922	-0.7878687362077451	-1.5817740634092192	0.9896842689384652	0.3238369354978839	-0.35056994755969606	0.410461163447707	1.2144402626960484	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
NS.2118.001.IDT_i7_137---IDT_i5_137.222	0.9991635328843849	0.8845708219455449	-0.3612248216547	-0.6438256212403519	-0.47833604010536346	-0.528711510732631	-0.6852918357454484	0.4187118481746571	0.5779384889932452	-0.13402501527814642	-0.06300052119134938	-0.5477070966554349	1	1	0	1	1	0	0	1	0	0	0.16666666666666666	0	0	1	0.3333333333333333
NS.2118.001.IDT_i7_138---IDT_i5_138.43	-0.8342159256212984	1.2928130737176273	1.1260382203895132	-0.005007110070567443	-2.0181936311402184	-0.4047929502829466	-1.880978716792474	1.5119567367286613	1.60767604185583	-1.2055880884706656	0.8530007624061995	-0.49987996680505037	1	0	0	1	1	0	0	0.375	0	0	0	1	0	0.25	1
NS.2118.001.IDT_i7_139---IDT_i5_139.332	-0.5691116826969851	-0.6780864460498902	-0.2961143832434918	-0.5314685297665988	-1.1393777272157006	-1.0444855448553771	-1.656484406876471	0.23601307718929543	-0.09548141993545328	-0.4303948945359305	0.37899485590201454	-0.16944664912294716	0.25	0	0.5	1	1	0	0	0	0	0	0	0	0	1	0
NS.2118.001.IDT_i7_140---IDT_i5_140.97	0.7197211056294672	-0.18971152354491258	0.1284030166294346	0.23956428784406075	0.7869931338632822	0.5015441415568535	1.1633894138030207	-0.9557818416364403	-0.26597925752965823	-0.05415780914257799	0.11843036169791672	-0.8255162684300827	0	1	0	1	1	1	0	0	0	0.6666666666666666	0	0	0.16666666666666666	1	0
NS.2118.001.IDT_i7_141---IDT_i5_141.137	0.49137008671055005	1.193470442884228	-0.11401272128685161	-0.05404649593435633	0.3975545875023601	-0.1688655943557453	0.32402489719252037	-1.0137098977558847	0.9389057370034666	1.0486025304091657	-1.2927692142723026	-1.4421540150855967	1	1	0	1	1	0.5	0	0.75	0	0	0	0	1	1	0
NS.2118.001.IDT_i7_145---IDT_i5_145.95	-0.4572931605633479	-0.6029214563470517	-0.4273985621444887	0.8665011306001917	0.6867139144724266	0.785657629781845	0.5518368952582948	0.44538226069751197	0.4257873550479251	1.149819035330271	-1.060189839883357	1.3928070583344305	0	1	0	1	0.5	1	0	0	0	0	0	0.5	0	1	0
NS.2118.001.IDT_i7_146---IDT_i5_146.64	-2.0836754527157666	1.8639805363644282	-0.5061092457560192	-0.5624923168344304	-0.982201763491855	-0.8978726362716912	-1.4014787746910975	0.2294850250497633	0.36469378212296183	-0.1573099761912013	0.27151462785350716	0.16621559984185794	0	0	0	1	0.5	0	0	1	0	0.5	0	0	0	0.6666666666666666	1
NS.2118.001.IDT_i7_147---IDT_i5_147.41	0.08475026553346783	-0.9612490820684105	-0.026474719686621906	0.7832381374799261	0.3530370887357536	0.37204183322909073	0.4639152251629696	1.1876882358304661	0.47250289532976064	-0.7092313135202135	0.5750854688034234	0.8047867206330925	0	0.5416666666666666	0	1	1	1	0	0	0	1	0	1	0	0	0
NS.2118.001.IDT_i7_148---IDT_i5_148.238	0.6062368750966408	-0.6317589386397813	-1.0206129994684083	-0.564904619192413	-0.47472250003434335	-0.7000797349940121	-1.1730619204170338	-0.7145902422184265	-1.1610985691061844	0.20586937985401013	-0.03727375726674756	0.14955877021433733	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0
NS.2118.001.IDT_i7_149---IDT_i5_149.6	2.242118431687744	-0.7859607537234605	0.8078614543749791	-0.5914281131674128	0.9720027250400514	0.19778008807247216	1.8797040023522458	-0.48947401463715867	-0.42925907002298697	0.5702592018523129	-0.3214930992180672	0.4581826343135524	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0
NS.2118.001.IDT_i7_150---IDT_i5_150.130	2.276733309148274	0.3731078993487451	0.8163982325899404	0.990862710805392	-0.07488103970310538	0.8512987867786396	0.2131144863620134	-0.08760836783306769	-0.22566548992412402	-0.4985088311487194	0.5339723018513369	-0.4729649782868332	1	1	1	1	1	1	0	0	0.25	0	0	0	0	1	0
NS.2118.001.IDT_i7_151---IDT_i5_151.78	0.6238934840830013	0.7694462765726592	2.091786028422196	-0.22216570683139258	0.73566919615013	1.8243966482980514	2.684870132070412	-0.29261967417224977	-0.7517695218042104	0.8011568110430879	-0.4399822227379405	1.0173772218927069	0	0	0	1	1	1	0	0.5	1	0.75	0	0	0	1	0
NS.2118.001.IDT_i7_152---IDT_i5_152.138	1.488332706330333	0.2213440275070762	0.829165785195858	0.03638947090040194	0.7249228076760817	0.8438102329422914	1.475619031875055	1.049198284043125	1.2358266258863386	-0.5287889480837922	0.22725734739711423	0.03985016844420642	0.25	1	0.25	1	1	1	0	0.75	0	0	0	1	0	0	0
NS.2118.001.IDT_i7_153---IDT_i5_153.115	0.06271147592569945	-1.1451551960952286	-1.1853061900744077	1.006078261422306	1.1199252307082759	0.45692046089144644	0.08740171891291791	1.5336390709817787	1.1763216820235118	-0.09977422973457853	0.016534472437350796	1.480066123520063	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0
NS.2118.001.IDT_i7_154---IDT_i5_154.103	-0.3755437355837856	-1.1620181098475701	0.6612920826957092	0.07371151441086005	-1.7224028175348831	-0.39969223664840964	-2.256697835097146	-0.9578970587270641	-1.346807672200053	-0.3954961940591515	0.5934300016895357	-0.40167642060409214	1	0	0	1	1	0	0	0	0	0.5	0	0	0.5	1	0
NS.2118.001.IDT_i7_157---IDT_i5_157.12	-0.41254100631701696	-1.6216478151960247	-1.5312457140775337	-1.2644805101228473	0.07805115410997598	-0.7526774776013764	-0.5108483826848906	1.0162410564554194	0.46457241009679534	-0.4801125434962484	0.4007618963401558	0.8537640439279877	0	1	0	1	1	0	0	0	0	0	0	1	0.41666666666666663	0	0
NS.2118.001.IDT_i7_158---IDT_i5_158.153	1.5222537093964474	-0.8774327772493798	0.4175458294938361	0.4961314128313216	0.45002834526539853	0.9616748117166626	0.8501925616245802	0.4048028667465161	0.4743782837938995	-0.11933811326787647	-0.024176312079977502	-0.2387964708418738	0	1	1	1	1	1	0	0.16666666666666666	0	0	0	0	0	1	0
NS.2118.001.IDT_i7_159---IDT_i5_159.79	-0.43628968126605494	0.2464855619548798	-1.1294239941874755	1.1573990077954743	0.8970842628706199	0.9373194661410742	0.1998933748109505	0.029057102972333465	0.25056107839835284	0.12224522231701457	-0.4262877563000261	-1.0176121297248435	0	1	0	1	0	1	0	0.75	0	0.5	1	0	0	1	0
NS.2118.001.IDT_i7_160---IDT_i5_160.229	1.188419141879304	0.4192251300738589	1.5547161866071286	-0.9361201675923334	1.183484140102184	0.8614386498912731	2.6743833912600934	0.5724360604718101	1.3193947292423305	0.14806827162519204	-0.5584471529415889	-0.7793133954928819	0	0	0	1	1	1	0	1	0	0.5	0	0	0	1	0
NS.2118.001.IDT_i7_161---IDT_i5_161.346	1.2988942825852594	0.5895980938792046	0.1456119153531169	0.43258787327846515	0.9175563010267018	1.0623144782054526	1.011208203940002	0.23377427287314023	0.26419089236740906	0.04959801891738033	-0.08852957170337529	0.02417452528865788	0.25	1	0	1	1	1	0	1	0	0.5	0	0	0	1	0
