replicate,sample_id,fish_id,selection,HeadDNA_concentration_ng_ul,plate,column,row,cell
1,90,M1-869,down_selected,67.9,plate1,1,A,1A
2,183,M2-831,down_selected,63.5,plate1,1,B,1B
1,95,M1-853,down_selected,48.7,plate1,1,C,1C
1,12,M1-1013,down_selected,83.9,plate1,1,D,1D
3,321,M3-835,up_selected,55.4,plate1,1,E,1E
3,257,M3-953,up_selected,80,plate1,1,F,1F
2,158,M2-868,up_selected,64.6,plate1,1,G,1G
1,113,M1-1110,up_selected,81.9,plate1,1,H,1H
3,296,M3-799,down_selected,85.7,plate1,2,A,2A
1,13,M1-1022,up_selected,112.4,plate1,2,B,2B
1,64,M1-946,down_selected,59.2,plate1,2,C,2C
2,153,M2-860,up_selected,71.5,plate1,2,D,2D
2,200,M2-907,down_selected,81.2,plate1,2,E,2E
2,191,M2-844,down_selected,68.1,plate1,2,F,2F
2,217,M2-937,up_selected,96.1,plate1,2,G,2G
3,270,M3-973,up_selected,57,plate1,2,H,2H
2,205,M2-1011,up_selected,56.1,plate1,3,A,3A
3,253,M3-929,up_selected,56.9,plate1,3,B,3B
1,41,M1-955,up_selected,84,plate1,3,C,3C
1,79,M1-880,down_selected,30.6,plate1,3,D,3D
2,159,M2-889,down_selected,74.5,plate1,3,E,3E
1,109,M1-856,up_selected,125.8,plate1,3,F,3F
1,5,M1-1015,up_selected,67.8,plate1,3,G,3G
1,36,M1-1112,down_selected,87.9,plate1,3,H,3H
2,194,M2-997,up_selected,71.9,plate1,4,A,4A
1,7,M1-1003,down_selected,40.4,plate1,4,B,4B
2,238,M2-1033,up_selected,62.5,plate1,4,C,4C
2,229,M2-964,up_selected,66.2,plate1,4,D,4D
1,72,M1-964,down_selected,36.9,plate1,4,E,4E
2,209,M2-918,up_selected,69.6,plate1,4,F,4F
1,45,M1-923,up_selected,35.5,plate1,4,G,4G
2,174,M2-842,up_selected,67.2,plate1,4,H,4H
1,114,M1-1113,up_selected,137.6,plate1,5,A,5A
2,222,M2-944,up_selected,88.7,plate1,5,B,5B
